pid,latitude,longitude,height
3m8ox5xKmH,51.13129,16.992853,122.0
3m8ox5xKmI,51.131298,16.992907,121.7
3m8ox5xKmG,51.131287,16.992807,122.6
3m8ox5pMMR,51.127773,16.99434,122.4
3m8ox5pMMD,51.12768,16.993587,126.5
3m8ox5x3jX,51.1313,16.993988,122.8
3m8ox5pMMC,51.127674,16.993536,126.8
3m8ox5qSXv,51.12797,16.991772,121.7
3m8ox5qjas,51.12807,16.991528,126.0
3m8ox5pMM9,51.12764,16.993233,121.2
3m8ox5qSXu,51.127968,16.99173,122.5
3m8ox5pMM7,51.12763,16.993132,122.0
3m8ox5qjar,51.128063,16.991484,126.7
3m8ox5qSXr,51.127953,16.991615,125.5
3m8ox5sexX,51.129566,16.996485,121.1
3m8ox5p5JJ,51.127605,16.994001,121.6
3m8ox5p5JI,51.127598,16.99395,122.0
3m8ox5qSXq,51.12795,16.991583,126.8
3m8ox5xbpJ,51.131413,16.992811,121.8
3m8ox5p5JB,51.12756,16.993614,126.0
3m8ox5xbpL,51.131428,16.992916,121.1
3m8ox5p5JA,51.127552,16.993565,126.4
3m8ox5p5J8,51.12752,16.993322,120.8
3m8ox5qSXo,51.127937,16.991488,128.0
3m8ox5p5J7,51.127514,16.993265,120.9
3m8ox5puRs,51.127728,16.99187,119.9
3m8ox5vPRo,51.130775,16.995956,122.7
3m8ox5qBW2,51.128372,16.996124,124.4
3m8ox5ooGG,51.127476,16.993998,122.5
3m8ox5puRq,51.127716,16.991772,120.8
3m8ox5xssM,51.131542,16.992817,121.0
3m8ox5xssL,51.13154,16.992773,121.8
3m8ox5qBUo,51.12781,16.991505,121.4
3m8ox5vgUq,51.130898,16.995905,122.2
3m8ox5qBUl,51.127804,16.991459,127.6
3m8ox5rHgm,51.128227,16.990738,120.8
3m8ox5pdOp,51.1276,16.991886,121.7
3m8ox5puT0,51.12825,16.99617,124.7
3m8ox5puT1,51.128258,16.996202,123.4
3m8ox5puRl,51.12769,16.991547,124.3
3m8ox5vxXs,51.131023,16.995892,123.3
3m8ox5r0dk,51.128105,16.990772,120.6
3m8ox5oXDD,51.127342,16.993952,121.3
3m8ox5s6pm,51.128555,16.990284,121.7
3m8ox5y9vP,51.13167,16.992826,120.5
3m8ox5rpml,51.128437,16.990362,120.9
3m8ox5pMLo,51.127487,16.99198,121.4
3m8ox5oXD4,51.12728,16.99343,122.2
3m8ox5rpmk,51.128433,16.990322,121.8
3m8ox5s6pl,51.128548,16.990221,121.6
3m8ox5oXD3,51.127274,16.993372,122.2
3m8ox5rYjj,51.128315,16.990398,120.7
3m8ox5pMLm,51.127476,16.991884,122.5
3m8ox5rpmj,51.12842,16.990244,120.9
3m8ox5oGAB,51.12722,16.993992,121.4
3m8ox5rHgg,51.128185,16.990387,121.2
3m8ox5oGA4,51.12717,16.99359,122.2
3m8ox5oGA2,51.12716,16.993473,122.4
3m8ox5oGA1,51.12715,16.99342,122.7
3m8ox5oXCs,51.12719,16.99269,121.2
3m8ox5s6pi,51.12852,16.990004,119.9
3m8ox5ooFj,51.12723,16.991993,121.2
3m8ox5rHgc,51.12816,16.990162,121.8
3m8ox5sevi,51.12874,16.989712,121.0
3m8ox5nz70,51.127033,16.993502,121.9
3m8ox5rYjc,51.128265,16.990004,121.9
3m8ox5rHgb,51.128147,16.990095,121.6
3m8ox5rHga,51.128143,16.990044,121.9
3m8ox5puRZ,51.127598,16.99079,122.6
3m8ox5ooFf,51.127205,16.991756,121.4
3m8ox5nz6s,51.12698,16.99305,123.2
3m8ox5rHgZ,51.128136,16.989983,121.9
3m8ox5r0dY,51.128017,16.990072,121.5
3m8ox5qBUX,51.12769,16.990509,122.5
3m8ox5rYja,51.128246,16.98984,119.9
3m8ox5pdOX,51.127476,16.990833,122.9
3m8ox5ni3w,51.126892,16.99339,120.5
3m8ox5qBUW,51.12768,16.990442,122.2
3m8ox5ni3v,51.12689,16.993351,121.5
3m8ox5puRV,51.12757,16.990576,123.8
3m8ox5r0dW,51.128006,16.989971,122.4
3m8ox5rHgX,51.128117,16.989843,121.0
3m8ox5ni3r,51.126858,16.99311,121.5
3m8ox5pdOV,51.12746,16.990725,123.4
3m8ox5puRU,51.127563,16.990526,124.3
3m8ox5ni3q,51.12685,16.993055,121.7
3m8ox5pdOU,51.127457,16.990698,124.9
3m8ox5rHgW,51.128113,16.989792,121.4
3m8ox5qjaV,51.127888,16.990026,120.4
3m8ox5r0dV,51.127995,16.989887,121.3
3m8ox5nR1E,51.126923,16.99468,123.0
3m8ox5pMLU,51.127342,16.99081,122.8
3m8ox5qBUR,51.12766,16.990255,127.4
3m8ox5rHgV,51.1281,16.989717,120.8
3m8ox5pdOS,51.12744,16.990578,124.9
3m8ox5puRR,51.12755,16.990393,126.4
3m8ox5pdOR,51.12744,16.990574,127.5
3m8ox5nR0u,51.12677,16.993427,120.5
3m8ox5qjaT,51.127872,16.989925,121.2
3m8ox5nR0t,51.126762,16.993362,120.2
3m8ox5qSXQ,51.12776,16.990042,127.6
3m8ox5qBUQ,51.12765,16.990187,127.0
3m8ox5yz44,51.131847,16.991121,121.9
3m8ox5puRP,51.12754,16.990337,129.4
3m8ox5r0dT,51.12798,16.98975,120.4
3m8ox5pdOP,51.127434,16.990501,129.7
3m8ox5qBUP,51.127647,16.99015,128.1
3m8ox5svyb,51.1288,16.989159,122.2
3m8ox5pMLS,51.127327,16.990679,122.2
3m8ox5nR0o,51.126728,16.99309,121.5
3m8ox5qBUO,51.12764,16.990107,128.9
3m8ox5nz6Z,51.126846,16.991957,125.3
3m8ox5ooFT,51.127117,16.991055,122.2
3m8ox5puRO,51.12753,16.990232,127.4
3m8ox5puRN,51.127525,16.990213,129.3
3m8ox5s6pV,51.12843,16.989265,121.8
3m8ox5ooFS,51.127113,16.991016,123.2
3m8ox5sNsW,51.128548,16.989178,122.3
3m8ox5sevY,51.128666,16.989109,120.9
3m8ox5tU4d,51.12903,16.988953,121.8
3m8ox5rpmT,51.128307,16.989296,121.5
3m8ox5puRM,51.127518,16.990147,128.9
3m8ox5ni3a,51.126747,16.992197,126.3
3m8ox5sevX,51.128662,16.989073,122.0
3m8ox5nz6W,51.126827,16.991798,126.4
3m8ox5zG76,51.13197,16.991087,122.0
3m8ox5nz6V,51.126823,16.991783,128.4
3m8ox5ni3Z,51.12674,16.992147,126.8
3m8ox5zG75,51.13196,16.991035,122.4
3m8ox5nR0f,51.126667,16.992592,123.4
3m8ox5sNsV,51.128536,16.98909,121.0
3m8ox5nz6U,51.126816,16.991722,128.4
3m8ox5ni3Y,51.126736,16.992085,126.7
3m8ox5nR0e,51.126656,16.992495,121.7
3m8ox5ni3X,51.126724,16.992016,126.3
3m8ox5n9xj,51.126583,16.992949,121.5
3m8ox5msuy,51.126587,16.994019,122.0
3m8ox5msv8,51.12666,16.99462,122.1
3m8ox5msux,51.12658,16.993975,122.9
3m8ox5nR0a,51.126637,16.992344,125.8
3m8ox5n9xi,51.126575,16.992893,121.8
3m8ox5msvA,51.12668,16.994759,123.0
3m8ox5sNsU,51.128525,16.988997,119.5
3m8ox5ni3U,51.126705,16.991867,127.7
3m8ox5sNsT,51.12852,16.988962,120.6
3m8ox5nR0Y,51.126625,16.99224,126.6
3m8ox5nR0X,51.12662,16.99222,128.4
3m8ox5pMLL,51.127277,16.990269,122.7
3m8ox5zXA8,51.13209,16.991056,122.4
3m8ox5ni3T,51.126698,16.991789,126.8
3m8ox5pMLK,51.127274,16.99023,123.7
3m8ox5n9xc,51.126545,16.992624,125.9
3m8ox5msul,51.126495,16.993258,122.9
3m8ox5p5IK,51.127167,16.990395,123.9
3m8ox5n9xa,51.126537,16.992567,128.9
3m8ox5ni3S,51.126686,16.991709,125.9
3m8ox5n9xb,51.126534,16.992521,123.9
3m8ox5qSXJ,51.1277,16.98954,123.9
3m8ox5p5IJ,51.12716,16.990345,124.5
3m8ox5nR0T,51.126595,16.991987,128.8
3m8ox5qjaK,51.127808,16.989393,121.6
3m8ox5ni3R,51.126675,16.991611,124.2
3m8ox5puRI,51.127476,16.989796,123.8
3m8ox5pdOI,51.127365,16.98996,124.1
3m8ox5n9xY,51.12652,16.99241,127.2
3m8ox5msuh,51.12646,16.992985,121.4
3m8ox5mbrw,51.12646,16.994038,121.2
3m8ox5mbs6,51.126537,16.994667,122.6
3m8ox5mbs7,51.126545,16.994719,122.2
3m8ox5qBUI,51.127583,16.989616,122.8
3m8ox5mbs8,51.126553,16.99477,121.8
3m8ox5pdOH,51.12736,16.989912,124.6
3m8ox5rYlp,51.129276,16.998306,126.2
3m8ox5ni3Q,51.126663,16.991516,122.6
3m8ox5msuc,51.126442,16.99284,128.5
3m8ox5p5IH,51.127148,16.99026,126.0
3m8ox5qBUH,51.12758,16.989588,124.2
3m8ox5n9xV,51.1265,16.992273,129.1
3m8ox5n9xU,51.126495,16.992233,130.1
3m8ox5msua,51.12643,16.992727,128.9
3m8ox5ooFH,51.12704,16.990402,125.3
3m8ox5qSXH,51.12768,16.989412,123.5
3m8ox5mbrl,51.12639,16.993446,124.4
3m8ox5nR0R,51.126568,16.991758,123.7
3m8ox5puRG,51.12746,16.989674,123.7
3m8ox5mbsG,51.126617,16.99531,124.6
3m8ox5pdOG,51.12735,16.989824,123.4
3m8ox5mbrk,51.126377,16.993345,122.4
3m8ox5qBUG,51.127567,16.989515,123.7
3m8ox5qjaH,51.127792,16.989256,123.5
3m8ox5msuY,51.126415,16.992605,128.8
3m8ox5pdOF,51.12735,16.989801,125.1
3m8ox5mbrj,51.12637,16.993292,122.7
3m8ox5mbrh,51.126366,16.99325,126.3
3m8ox5msuX,51.126408,16.992558,129.4
3m8ox5nR0Q,51.126556,16.991684,123.0
3m8ox5puRF,51.127457,16.989628,124.4
3m8ox5rHim,51.12916,16.998394,131.3
3m8ox5qSXG,51.127674,16.989351,123.4
3m8ox5mbrg,51.126358,16.99319,126.4
3m8ox5mbrf,51.126354,16.993164,127.9
